session_id,timestamp,game_id,hand_num,street,hero_cards,board,hero_position,pot_size,amount_to_call,stack,equity_pct,pot_odds_pct,ev_pct,decision,opp_vpip,opp_pfr,opp_af,result_dollars,result_bb,showdown_seen,stack_start,stack_end
350d5c32,2026-06-09T11:58:16,8dc19061ab933b95e6fe430e269c1b,1,PREFLOP,Ks 4h,,UTG,2.52,0.0,199.0088,0.0,0.0,,Fold,,,,,,,,
350d5c32,2026-06-09T11:58:34,,2,PREFLOP,Ks 4h,,UTG,87.04,39.5,199.0088,0.0,31.22,-31.22,Fold,,,,,,,,
350d5c32,2026-06-09T12:00:25,,2,FLOP,Qc 5c,4d 8c Jc,BB,163.0,988.0,54950,52.15,85.84,-33.69,Fold,,,,,,,,
350d5c32,2026-06-09T12:00:56,,2,TURN,Qc 5c,4d 8c Jc 9c,BB,51402.0,413.0,54537,94.2,0.8,93.4,Raise_Half,,,,,,,,
350d5c32,2026-06-09T12:01:13,,2,RIVER,Qc 5c,4d 8c Jc 9c Ac,BB,51402.0,413.0,54537,96.1,0.8,95.3,Call,,,,,,,,
350d5c32,2026-06-09T12:01:45,727dac50c7046c5843dbbc682e3575,3,PREFLOP,3d 3h,,BTN,88.0,25.0,511206,0.0,22.12,-22.12,Fold,,,,,,,,
350d5c32,2026-06-09T12:01:46,,4,PREFLOP,3d 3h,,BTN,88.0,25.0,11206,0.0,22.12,-22.12,Fold,,,,,,,,
350d5c32,2026-06-09T12:03:49,6703a7b6e2f5ec7e238bf4f1e0f973,5,PREFLOP,6c Jd,,CO,88.0,25.0,511206,0.0,22.12,-22.12,Fold,,,,,,,,
350d5c32,2026-06-09T12:04:32,00a97183a2c1c82791129818be014,6,PREFLOP,9s Qd,,CO,63.0,25.0,511206,0.0,28.41,-28.41,Fold,,,,,,,,
350d5c32,2026-06-09T12:04:34,900a97183a2c1c82791129818be014,7,PREFLOP,9s Qd,,CO,63.0,25.0,11206,0.0,28.41,-28.41,Fold,,,,,,,,
350d5c32,2026-06-09T12:06:44,,8,PREFLOP,Ks 5h,,CO,4.52,1.0,448.2488,0.0,18.12,-18.12,Fold,,,,,,,,
350d5c32,2026-06-09T12:09:09,e8f1f86c41496ea2110bIcf434a0ba,9,PREFLOP,2d 3h,,UTG,2.52,1.0,448.2488,0.0,28.41,-28.41,Fold,,,,,,,,
350d5c32,2026-06-09T12:09:34,,10,PREFLOP,2d 3h,,UTG,640.0,88.0,511181,0.0,12.09,-12.09,Fold,,,,,,,,
350d5c32,2026-06-09T12:09:53,,10,FLOP,2d 3h,9h Jd 3c,UTG,904.0,88.0,511093,45.0,8.87,36.13,Call,,,,,,,,
350d5c32,2026-06-09T12:11:00,,10,TURN,2d 3h,9h Jd 3c Ad,UTG,51104.0,25.0,511068,40.3,0.05,40.25,Fold,,,,,,,,
350d5c32,2026-06-09T12:11:48,17836317b58177dabaf824bef4703e,11,PREFLOP,Ad 8c,,UTG,538.0,25.0,511068,0.0,4.44,-4.44,Fold,,,,,,,,
350d5c32,2026-06-09T12:13:23,,12,PREFLOP,8c 9s,,UTG,175.0,12.0,511043,0.0,6.42,-6.42,Fold,,,,,,,,
350d5c32,2026-06-09T12:13:24,,12,FLOP,8c 9s,7s 6s 9h,UTG,175.0,12.0,511043,71.3,6.42,64.88,Call,,,,,,,,
350d5c32,2026-06-09T12:13:54,,12,TURN,8c 9s,7s 6s 9h Ks,UTG,425.0,12.0,510993,65.75,2.75,63.0,Call,,,,,,,,
350d5c32,2026-06-09T12:14:18,,12,RIVER,8c 9s,7s 6s 9h Ks 8s,UTG,825.0,50.0,510893,86.6,5.71,80.89,Call,,,,,,,,
350d5c32,2026-06-09T12:15:11,,12,PREFLOP,8d As,,BTN,51613.0,525.0,510843,0.0,1.01,-1.01,Fold,,,,,,,,
350d5c32,2026-06-09T12:17:50,,12,FLOP,Ad 5d,Qh Ac 3d,CO,53055.0,19.2,510338,84.4,0.04,84.36,Call,,,,,,,,
350d5c32,2026-06-09T12:18:25,,12,TURN,Ad 5d,Qh Ac 3d 9d,CO,54255.0,19.2,510038,89.0,0.04,88.96,Raise_Half,,,,,,,,
350d5c32,2026-06-09T12:19:02,,12,RIVER,Ad 5d,Qh Ac 3d 9d 2d,CO,55055.0,19.2,59638,100.0,0.03,99.97,Raise_Half,,,,,,,,
350d5c32,2026-06-09T12:19:46,,12,FLOP,Ks 9h,Kc 3h Ts,UTG,175.0,25.0,285,79.0,12.5,66.5,Call,,,,,,,,
