session_id,timestamp,game_id,hand_num,street,hero_cards,board,hero_position,pot_size,amount_to_call,stack,equity_pct,pot_odds_pct,ev_pct,decision,opp_vpip,opp_pfr,opp_af,result_dollars,result_bb,showdown_seen,stack_start,stack_end
d030bda3,2026-06-09T12:42:00,b14f13db350ca1f2cd25e4a92a57ae,1,RIVER,6h Qc,6s 2h 9s 4h 6h,BB,538.0,0.0,514668,77.75,0.0,,Raise_Pot,,,,,,,,
d030bda3,2026-06-09T12:42:10,,2,RIVER,6h Qc,6s 2h 9s 4h 6h,BB,113.0,0.0,514668,79.2,0.0,,Raise_Pot,,,,,,,,
d030bda3,2026-06-09T12:42:14,,2,FLOP,6h Qc,Jh Ad 8h,BB,125.0,0.0,514668,35.15,0.0,,Fold,,,,,,,,
d030bda3,2026-06-09T12:42:33,,2,TURN,6h Qc,Jh Ad 8h 3h,BB,5.0,0.0,586.7288,32.15,0.0,,Check,,,,,,,,
d030bda3,2026-06-09T12:42:45,,2,RIVER,6h Qc,Jh Ad 8h 3h 3d,BB,5.0,0.0,586.7288,22.1,0.0,,Fold,,,,,,,,
d030bda3,2026-06-09T12:42:57,07b27b7812eb3f2997c10e9b73f0a0,3,PREFLOP,Kc 3h,,BB,1.52,0.5,586.2088,0.0,24.75,-24.75,Fold,,,,,,,,
d030bda3,2026-06-09T12:43:01,07b27b7812eb312997c1Oe9b73f0a0,4,PREFLOP,Kc 3h,,BB,2.52,0.5,586.2088,0.0,16.56,-16.56,Fold,,,,,,,,
d030bda3,2026-06-09T12:43:11,,5,PREFLOP,Kc 3h,,BB,5.52,0.5,586.2088,0.0,8.31,-8.31,Fold,,,,,,,,
d030bda3,2026-06-09T12:43:13,,5,FLOP,Kc 3h,7h 8s 5d,BB,6.0,0.5,585.7288,25.95,7.69,18.26,Call,,,,,,,,
d030bda3,2026-06-09T12:43:33,,5,TURN,Kc 3h,7h 8s 5d 8d,BB,6.0,0.5,585.7288,28.45,7.69,20.76,Call,,,,,,,,
d030bda3,2026-06-09T12:43:58,,5,RIVER,Kc 3h,7h 8s 5d 8d Qc,BB,6.0,0.5,585.7288,21.65,7.69,13.96,Fold,,,,,,,,
d030bda3,2026-06-09T12:44:15,d969cf797801f9bc76c17d91434715,6,PREFLOP,5s 2d,,BTN,2.52,1.0,585.7288,0.0,28.41,-28.41,Fold,,,,,,,,
d030bda3,2026-06-09T12:44:25,,7,PREFLOP,5s 2d,,BTN,3.52,1.0,585.7288,0.0,22.12,-22.12,Fold,,,,,,,,
d030bda3,2026-06-09T12:44:33,,7,FLOP,5s 2d,9s 6s 7d,BTN,6.0,1.0,585.72,22.1,14.29,7.81,Fold,,,,,,,,
d030bda3,2026-06-09T12:45:02,,7,TURN,5s 2d,9s 6s 7d 7s,BTN,36.0,1.0,585.72,24.5,2.7,21.8,Fold,,,,,,,,
d030bda3,2026-06-09T12:45:20,,7,RIVER,5s 2d,9s 6s 7d 7s 3s,BTN,108.0,1.0,585.72,76.4,0.92,75.48,Call,,,,,,,,
d030bda3,2026-06-09T12:45:38,8c1e85759263176ec9202530bf9405,8,PREFLOP,3d Qd,,CO,1.52,1.0,585.7288,0.0,39.68,-39.68,Fold,,,,,,,,
d030bda3,2026-06-09T12:45:40,8c1e85759263176ec9202530bf9415,9,PREFLOP,3d Qd,,CO,2.52,1.0,585.7288,0.0,28.41,-28.41,Fold,,,,,,,,
d030bda3,2026-06-09T12:45:47,8c1e85759263176ec9202530bf94f5,10,PREFLOP,3d Qd,,CO,4.52,1.0,585.7288,0.0,18.12,-18.12,Fold,,,,,,,,
d030bda3,2026-06-09T12:45:48,,11,PREFLOP,3d Qd,,CO,5.52,1.0,585.72,0.0,15.34,-15.34,Fold,,,,,,,,
